Q,A
만약 된다면 한번에 듣는거 별로일까요?학점은 짠데 시키는게 많다고 해서 고민중...,들을수는있음
휴학 언제하셔요?,이미함
1월 3일 입사 2월 25일까지 하면 연차 2일인거야? 근무개월은 1년미만이얌.. ㅠㅠ,삭제된 댓글입니다.
계절 성적조회는 어디서하나요!?당해학기들어가면될까요?,그니끼요..
자꾸 이런식으로 관련 문제에 미적지근하게 나오고 대응 안 하고 동물 단체랑 협약하네 어쩌네 그러면 결국 고양이를 치울 수 밖에 없는 거 아닌가?,삭제된 댓글입니다.
처음 들어봐서 나온 학점은 어떻게 들어가는 건가요..?? 계절학기 학점이 2학기 학점에 포함되는게 아니죠?,포함 아녜용
치킨이랑 피자 메뉴추천좀해줘 그리고 피자나라치킨공주 맛잇어??,웅 맛있어.!!! 난 포테이토에 치킨 세트? 막었던 것 같은데 존맛
등록금 고지서 출력할때 아는거지?,넹
예비수강신청인가 그 장바구니에 넣는것도 선착순인가요?,ㄴ
등록금은 내고 저러는거지? 맞겠지? 설마 돈도안내는데 돈내고 다니는 학생들보다 고양이를 우선시할까..아니면 고양이가 등록금내고 학교다니는건가?,??등록금은 다 내는거자너
뭔지 알려줄사람:.? 돈내고 하는겨? 종량제는 뭐고,vpn은 토마토
최대로 한 학기당 몇학점까지 가능한가요??너무 오랜만에 수강신청이라 다 잊어버려서 ㅜ,19
수강신청해야 하나요..? 휴학할 건데 제가 수강신청함으로써 잡지 못하는 학생분이 계실 텐데 해야 한다고 들어서요ㅠㅜ,안 해도 돼요 저도 안 하고 휴학햇어용
아는사람이랑 알아서 같이 짤수있나요 아니면 랜덤인가요??,아는 사람이랑 미리 조 짜서 할 수도 있어요!
전공 올클 힘드나요!????,다 전필인데 어렵겠니
부모님이나 외부 친구들 불러도 되나 ..? 코로나 때문에 막으려나 ㅠㅠㅠㅠㅠ,졸업확정 뜬 거 어디서 봐?
"예를 들어 전필 과목이화2 수2, 3이렇게 되어 있는데, 이럴 경우에는 대면 했을 때 보통 수업을 어떻게 진행했나요??화요일에 1시간만 수업하고 수요일에 2시간 수업하고 그러는 건가요...??",네
예를 들어서 기계공학과 공업수학1이 2019년 기준 과목코드가 20060209인데 지금은 MECH2101인데 이러면 재수강해도 이전기록 삭제 못시키는건가요??,님 학과홈피가서 동일교과목인지 확인해보셈
이번학기에 20학점 이상 듣고 싶은데 어디서 신청하나요? 아니면 뭐라고 검색해야 나올까요... 홈페이지 공지에 초과학점이라 검색해도 안나와서..,전학기 4점대 넘으면 원래 학점보다 3학점 더 들을수맀음
학교에서 공짜야??,ㅇ
다들 뭐함?,자격증 공부중
성적이 4점대라 이번년도 봉사 한시간 이상해서 내면 성적장학금 받을 자격되나?,ㄴㄴ
캡스톤 디자인을 듣게 될 예비 4학년입니다..들을 만 하신가요..? 어떤 식으로 운영되나요?타과 선배님들도 알려주시면 감사합니다,캡스톤은 졸작만드는거 아닌감
학우분들 중에 창업하고 싶은 분들 계신가요?,나
"1학년 2학기만 휴학하고 이번에 복학하면 저 몇학년인지 아시는분? 2학년 시켜주,,?",2학기 휴학했으면 1학년이지
전공 3개 다른거 5개해서 8개 듣는거 오바일까요?,ㄱㄴ
수목요일에 전공 2개씩 각각 들어있으면 많이 빡세겠지?,빡센데 보통 다들 그렇게 하지
3전공 3교양하려고 했는데 4전공은 하는게 맞나요,5전공 1교양 이요
00시 땡 하면 나왔던거같은데 맞나???,10시 아닌가요
3학년 1학기 7과목인데 16학점 정도 나올꺼 같은데 너무 적을까요..?,네
궁금해용,삭제된 댓글입니다.
밭대에 같이 할 사람 있음??,나나 선출이긴해
맛있는 식당? 추천!,몰?루!
아는사람,내일 학사일정 읽어라 내일 학사일정 읽어라 내일 학사일정 읽어라 내일 학사일정 읽어라내일 학사일정 읽어라 내일 학사일정 읽어라 내일 학사일정 읽어라 내일 학사일정 읽어라내일 학사일정 읽어라 내일 학사일정 읽어라 내일 학사일정 읽어라 내일 학사일정 읽어라
공댄데 2학년까지 마치고 학점은 4.05찍고 군복무 겨의 끝나가는데 복학해서도 미래가 없는거같은데 의치한약수 수능으로 가고 싶네 답정너 같긴한데 그래도 여기다 물여보고싶네 혹시 친구들중에 수능재수하면서 잘본사람있으면 후기좀 ㅠㅠ 현역 수능은 43244였음 ㅠ,하고싶은 하시지요 제 친구도 2년제 졸업하고 다스 수능 봐서 25에 간호학과 입학해서 다니고 있는데
실습비 미지급 동의서 꼭 작성해야됨??작성하면 돈 안들어오는거 아님?,학교에서줌
랩실아닌가?,그치
인가요..??,충대는 대면한대
미리 연락드리고 부동산가면되나? 아님 그냥 찾아가면돼?,삭제된 댓글입니다.
3.48에 백분위 85중반 인데 성적장학금 c가능할까이거랑 비슷한 점수에서 받아본사람 있음?가능성이나 있나 보고싶다ㅠㅜ,3.9일때 c받음 가능성없지않을까
산타토익 이용해보신 분 계신가요?후기 어떤지 궁금하네요..,써봤는데 1년 넘어서 도움 안될듯
직전학기 3.8이상 맞나?,4.0 아닌가??
4학년 2학기 때 국가장학금 받으려면 4학년 1학기때 12학점 이상 들어야 하나요 ?4학년 2학기 국가장학금 지급은 취득학점과 상관없다는 말도 있길래 궁금하네요,삭제된 댓글입니다.
우리학교도 12학점 맞죠? 학교마다 다르다는 얘기를 언뜻 들어서ㅜㅜ제가 못찾는건지 국장관련 공지는 안보이더라구요.......,12학점맞아용
글들어오지말고 지나가주세요~ 킹아 ~,게이야..
맨날 헷갈려 ㅠㅠ,12학점이용
고등학교도 아니고 내 돈 내고 다니는 학교를 내 마음대로 공강도 못 만들고 시간이랑 교수 선택도 못 하게 하는 게 말이 된다고 생각하냐?  사유보니깐 뭐 친해지라고 분반 만들었다ㅇㅈㄹ하던데 어차피 친해질 애들은 알아서 친해지고 못 친해질 애들은 떠먹여줘도 못 친해질텐데 뭔 이런 줫같은 걸 하는 지 모르겠음,인정 무슨 고등학생도아니고 시간표를 짜줘서 강제로 들어야되는게 말이되는지;;
한밭대 어플에 학년 아직 변경 안된 건가요?이제 3학년 올라가는데 아직 2학년으로 되어있어서요,기준학점만 넘었으면 다음학기 시작하면 바뀜
이번학기에 교양못들음?전필에 심선하면 18.5학점이던데,원래공대는 전공만들어도 빠듯해요
할건데 수강신청 대충해도 되겠지?,군휴학?
"장학정보에는 신청방법 말고 기준만 있던데, 기준 충족하면 자동으로 받는건가요?",성적이면 기준 만족한 사람중 위에서부터 줘요
종교와 문화 유원지 교수님 어때요???,비대면 기준 ㄱㅊ
선착순이야...?? 그날 9시부터 바로못하는데 몰래 폰으로해야되나,장바구니를  누가 선착순으로 해.. ㅋㅋㅋ..
1학년 때 기초미적만 듣고 기본미적 (미적분학1 ) 안들었으면 2학년 때 과목 검색해서 듣고 싶은 교수님으로 들으면 되는건가여 ?,네
다른학교들은 있던데,남잔데 여친이 쓰는거 봤어
송미연 교수님 강의평가가 하나도 없던데 어떠신가요??,좋아요 착하세요
독서실 스터디카페는 방역패스 아니지?? 해제된거 맞지?,응 해제됐어. 맘 놓고 갔다와
막학년이라 생각하니 진짜 교양다운 교양 듣고 가고싶어서듣고 실생활에 도움 된다거나 진짜 지식이 쌓이는 그런거 뭐 없나,법관련 교양 들으셈
아무리 모든 생명이 다 중요하다지만 인간 중심으로 돌아가는 사회에서 인권이 무시된채 동물의 권리만 내세울수는 없는거다 고양이의 생명존중? 무분별한 먹이 사육이 고양이들의 건강을 헤치고 늘어난 고양이 개체수는 다른 동물들의 위협으로 돌아간다단순히 나 좋자고 고양이 귀여워하고 좋아해주는건 좋지만 책임없이 운영된다면 피해는 고스란히 남에게 돌아간다는 점 좀 생각하고 행동해줬으면 좋겠다 고양이집 옹호자들아 니네 집 앞마당에 고양이가 똥을 매일 싸대면 기분 좋게 치울수 있는 사람이 몇이나 되겠니제발 상식적으로 생각하자,개고기 말고 고양이 고기의 시작을 알리는 첫 단추일지도ㅎ  이제 고양이 다리에 된장 묻히면 되려나?
박주일 교수님 홍성욱 교수님 유명현 교수님 이 세분 들을 거 같은데 이분들 어떤가요??,ㅂㅈㅇ:수업내용보다자기얘기 많이하심 상남자스타일 ㅇㅁㅎ:과제x 점수는 갠적으로 깐깐한편ㅎㅅㅇ: 착하신 편인듯
n4동 지나가다 똥 밟을뻔했네저렇게 관리도 안되는거 언제 치우냐캣맘들은 먹이만 주고 똥은 청소 아주머니가 치우니?제발 좀 없애자,삭제된 댓글입니다.
뭐뭐 넣어야 하나요?,입영통지서요
학점 어떻게 신청해야됨?,그니까ㅋㅋ
커리큘럼20꺼인데 진로설계 1학기에들어? 나3학년이야,상관x
타과 학생 수강 불가라고 따로 안적혀 있으면 타과로도 수강 가능인가요?,ㄴ
졸업 때 해주고싶은데..,주문하고 걸면되지않을까
친구한테 아이패드 예전에 샀는데 애플케어 소유권 이전을 안해놨었음. 근데 아이패드 하드웨어 문제때문에 교체하고싶은데 친구랑 같이 가야함?? 아니면 그냥 기기자체에 애플케어 되어있으니까 상관없나....,그냥 가면됌 ㅇㅇ
2학년  수강신청 하려하는데  전공 4개중에2개선택해서 신청하면 되는거야?,"2,3학년은 전공 최대한 많이 듣는게 좋아"
분반 정해진대로 들어야 되는 거면 시간표가 그냥 고정인가요? 선택지도 없이??,삭제된 댓글입니다.
최근 강의평가가 없어서 그런데 혹시 어떤지 아시는분?,갸별로
둘중에 어떤것이 유용할까?,쿠팡와우 가격올랐는데
장바구니 ㅇㅈ임?,ㅇㅈ~
pdf 파일로 어케 바꿔요?,듀ㅣ에 pdf로바꾸면댐
"받은 사람 있어,,,?",아직 안들어왔어용
도전과 미래에서 듣고싶은거 그거밖에 없는데 큰일났네;,갸꿀과목인데
빌어넣기 해야하나요??,아뇨
나만 평가항목 0이라고 떠? 어쩌라는거지 이거??,평가안해도 성적뜨나봄
이제 교수님 선택 못해?어떻게 진행되는거지..진로설계4는 또 왜 없지..?,그러게 무슨 기업과 창업만 있고
안하나요?,나도 궁금
어떤 교수님걸 선택해야하나 고민이네요이미 고르신 분들 있나요?,웬만한 전자과 교수님들 다 괜찮음 ㄱ ㄱ
신청기간이 따로있나? 수강신청 망하면하려고 어차피 할거긴한데 ㅋㅋ,3월 말까진가 그런데
코로나인데도 외국인 유학생들 학교에 있나요??,ㅇㅇㅇ
지금 재학중이고 12월15일에 훈련소 가는데 훈련받고 사회나와서 군휴학하는거 가능한가요?,넵
메리트가 있나?,삭제된 댓글입니다.
언제쯤 확인 가능할까요?,21
시간표 짜는 중인데 2학점 하나 들으려고 하는데 셋 중에 뭐가 나을까..? 나머지는 시간이 안 맞음ㅠ 음악의 이해 들어보고 싶었는데 아쉽,테니스
장바구니랑 수강신청 언제인가요?,그러게
1학기 현장 실습 산업현력교육원에서 신청되는 사람 있어? 아예 안떠서 나만 그런가해서,나도 안떠 왜지....
유성쪽 아니면 둔산동에서 찾아볼 생각인데 본인 견적이랑 병원좀 말해줘..,유성서울뷰의원가세요 카톡플친하면 가격도 나와있고 싼편이에요
왜 따로 안내가 안오지..,한번 그 과사에 물어봐요. 저는 경영복전인데 오티한다고 오늘 문자왔어요
시술 받고 싶은 게 아니라 ㅠㅠ 그냥 두드러기 같은 게 올라와서 진료 보고 싶거든 피부과 가면 자꾸 시술 추천해줘서 부담스러운데... 그런 거 안 하는 데 있을까?,약간 그런거는 피부과 전문의 있는 병원 찾아서가야함 인터넷에 피부과 전문의 병원 찾는법잇으니까 찾아서 ㄲ
낭만 ㅇㅈ?,감기걸린다 따숩게 엡어라
애플교육할인스토어 들갈라는데 이멜 어디서봐야돼?,o365.hanbat.ac.kr
나 군휴학 전에는 교수님한테 무슨과목 들을지 상담하고 상담내용 제출해야 수강신청 우선권생겼었는데 아직도 그래?,ㅇㅇ
사이버한밭도 로그인할라니 오류난다고 안되는데,통합학사 들어가서 개설강좌 거기서 봐봐
서울권은 그런다고 하던데..,작년에도 병행햇는디 아마 그럴듯
"저번달보다 더 추워졌다고 난방 좀 많이 돌렸더니 이번달 도시가스비 42,500원 나와써...( ´•̥-•̥` )왜이렇게 비싼거야...다들그래?",나 22000원 나왔던데
맨투맨 어떤 브랜드 많이 입어 ?아미 vs 키츠네 다른 브랜드 추천도 좋아,삭제된 댓글입니다.
양해 구하면 따로 시간 내주겠지?,삭제된 댓글입니다.
어쩔때는되고 어쩔때는 안됨... 바이오스들어가지고 윈도우 있는상태에서 버퍼링만 겁나 돌아가서 부팅이 안됨.... 계속 재시작하면 원래 시동복구 뜰텐데 안뜸.... 계속 끙끙되면서 강제종료했다가 켰다가 계속 그러다가 갑자기 생각치도 못한순간에 됨... 왜그런지 모르겠음...ㅋㅋㅋㅋㅋㅋ 따로 백업해두고 윈도우 재설치해야되는건지.. 아니면하드디스크나 ssd문제인건지...,건전지랑 램부터 해보고 안되믄 부품 싹다 빼가면서 테스트 해봐야 알듯 ㅋㅋ
